Node ID,Discipline
3,Biology
5,Computer Science
6,Computer Science
7,Computer Science
9,Computer Science
12,Biology
13,Biology
18,Biology
19,Biology
25,Computer Science
28,Computer Science
31,Computer Science
37,Biology
39,Biology
45,Computer Science
47,Computer Science
48,Biology
49,Computer Science
53,Computer Science
55,Computer Science
63,Biology
64,Computer Science
69,Computer Science
73,Biology
80,Computer Science
81,Computer Science
83,Computer Science
87,Biology
92,Biology
93,Biology
94,Computer Science
96,Computer Science
97,Computer Science
101,Computer Science
103,Biology
104,Biology
107,Biology
108,Biology
113,Biology
116,Computer Science
124,Biology
126,Computer Science
131,Biology
132,Biology
133,Biology
135,Computer Science
139,Biology
140,Computer Science
143,Biology
144,Biology
147,Computer Science
154,Biology
156,Computer Science
158,Computer Science
165,Biology
166,Computer Science
167,Computer Science
169,Computer Science
170,Computer Science
172,Biology
173,Biology
175,Biology
176,Computer Science
179,Biology
180,Biology
186,Computer Science
190,Biology
194,Computer Science
196,Biology
198,Computer Science
205,Biology
209,Computer Science
210,Computer Science
215,Computer Science
219,Computer Science
220,Biology
221,Biology
222,Biology
223,Biology
226,Computer Science
228,Biology
229,Biology
230,Computer Science
232,Computer Science
234,Biology
236,Computer Science
240,Computer Science
248,Biology
252,Biology
253,Computer Science
254,Computer Science
255,Biology
258,Computer Science
262,Computer Science
264,Computer Science
265,Biology
269,Computer Science
273,Computer Science
274,Computer Science
276,Computer Science
280,Biology
284,Computer Science
285,Computer Science
286,Biology
289,Computer Science
295,Biology
297,Computer Science
298,Biology
299,Computer Science
300,Computer Science
303,Biology
304,Biology
311,Computer Science
313,Biology
314,Computer Science
324,Computer Science
325,Computer Science
328,Computer Science
330,Computer Science
340,Biology
341,Computer Science
342,Computer Science
344,Computer Science
350,Computer Science
353,Computer Science
355,Biology
356,Computer Science
358,Computer Science
360,Computer Science
363,Biology
372,Computer Science
373,Computer Science
377,Biology
380,Computer Science
392,Computer Science
395,Biology
397,Biology
398,Computer Science
399,Computer Science
400,Biology
401,Biology
406,Biology
408,Biology
410,Computer Science
413,Computer Science
415,Biology
418,Biology
423,Biology
427,Biology
428,Biology
432,Computer Science
434,Computer Science
435,Biology
436,Biology
440,Biology
441,Biology
443,Computer Science
444,Computer Science
448,Computer Science
454,Computer Science
455,Biology
461,Biology
467,Computer Science
469,Biology
470,Biology
480,Biology
483,Computer Science
484,Biology
486,Biology
487,Computer Science
490,Computer Science
495,Computer Science
506,Biology
512,Computer Science
518,Computer Science
519,Biology
521,Computer Science
526,Computer Science
527,Computer Science
531,Computer Science
544,Computer Science
551,Computer Science
554,Biology
555,Computer Science
559,Biology
565,Biology
567,Biology
572,Computer Science
574,Computer Science
575,Biology
578,Computer Science
586,Computer Science
591,Computer Science
595,Biology
596,Computer Science
600,Biology
607,Computer Science
620,Biology
624,Biology
625,Computer Science
626,Computer Science
628,Computer Science
629,Computer Science
630,Computer Science
634,Computer Science
636,Computer Science
639,Computer Science
642,Computer Science
644,Computer Science
645,Biology
646,Computer Science
656,Computer Science
658,Biology
659,Biology
664,Computer Science
666,Biology
668,Biology
682,Computer Science
683,Computer Science
685,Biology
687,Biology
688,Biology
689,Computer Science
693,Biology
700,Biology
702,Computer Science
709,Biology
712,Computer Science
713,Biology
714,Computer Science
720,Biology
728,Biology
729,Biology
736,Computer Science
742,Computer Science
747,Computer Science
750,Computer Science
751,Computer Science
758,Biology
760,Computer Science
762,Computer Science
764,Computer Science
767,Computer Science
769,Computer Science
772,Computer Science
773,Computer Science
775,Computer Science
780,Computer Science
795,Computer Science
796,Computer Science
800,Computer Science
808,Computer Science
810,Biology
814,Computer Science
823,Computer Science
825,Computer Science
835,Biology
837,Computer Science
838,Computer Science
841,Biology
842,Biology
847,Computer Science
850,Computer Science
857,Biology
858,Biology
864,Biology
866,Biology
870,Computer Science
876,Computer Science
878,Computer Science
881,Computer Science
888,Computer Science
895,Biology
896,Computer Science
897,Biology
900,Computer Science
901,Biology
903,Biology
905,Computer Science
906,Biology
908,Computer Science
910,Computer Science
911,Computer Science
912,Biology
913,Computer Science
916,Computer Science
920,Biology
923,Biology
924,Computer Science
926,Biology
932,Computer Science
934,Biology
936,Biology
938,Computer Science
940,Biology
948,Computer Science
951,Biology
956,Biology
958,Computer Science
964,Computer Science
968,Biology
975,Computer Science
976,Biology
978,Biology
980,Computer Science
983,Computer Science
986,Computer Science
988,Biology
989,Computer Science
997,Computer Science
1000,Biology
1001,Biology
1002,Biology
1004,Computer Science
1005,Biology
1007,Biology
1011,Biology
1012,Biology
1013,Biology
1014,Computer Science
1021,Computer Science
1027,Biology
1029,Computer Science
1032,Computer Science
1033,Computer Science
1038,Computer Science
1039,Computer Science
1042,Biology
1045,Computer Science
1047,Biology
1054,Biology
1059,Computer Science
1063,Computer Science
1079,Biology
1081,Biology
1082,Biology
1091,Biology
1092,Computer Science
1095,Biology
1097,Biology
1104,Biology
1108,Computer Science
1110,Biology
1116,Computer Science
1118,Biology
1119,Biology
1124,Computer Science
1130,Computer Science
1132,Biology
1136,Biology
1141,Computer Science
1147,Computer Science
1148,Biology
1150,Computer Science
1157,Biology
1158,Computer Science
1159,Biology
1164,Biology
1165,Computer Science
1166,Biology
1169,Computer Science
1175,Computer Science
1179,Biology
1181,Computer Science
1186,Biology
1189,Computer Science
1197,Computer Science
1199,Computer Science
1201,Computer Science
1202,Biology
1206,Computer Science
1207,Biology
1209,Computer Science
1218,Biology
1219,Computer Science
1225,Computer Science
1229,Computer Science
1239,Computer Science
1241,Biology
1244,Biology
1245,Computer Science
1249,Computer Science
1254,Computer Science
1257,Computer Science
1258,Biology
1261,Computer Science
1262,Computer Science
1263,Biology
1265,Computer Science
1268,Computer Science
1270,Computer Science
1271,Biology
1272,Computer Science
1275,Computer Science
1276,Computer Science
1278,Computer Science
1281,Computer Science
1286,Biology
1287,Biology
1288,Biology
1292,Biology
1297,Computer Science
1304,Biology
1307,Computer Science
1314,Biology
1316,Biology
1322,Computer Science
1323,Computer Science
1325,Computer Science
1326,Biology
1327,Computer Science
1328,Computer Science
1330,Biology
1331,Computer Science
1332,Biology
1339,Biology
1341,Biology
1342,Computer Science
1344,Computer Science
1347,Computer Science
1348,Computer Science
1350,Computer Science
1351,Biology
1352,Computer Science
