Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank
17,"J Tatemura, W Hsiung, W Li",Acceleration of web service workflow execution through edge computing,2003,Proc. 13th Int'l World Wide Web Conf.(WWW),,,"https://scholar.google.com/scholar?cites=8580676255933046334&as_sdt=2005&sciodt=0,5&hl=en&num=20",8
5,"M Barra, R Grieco, D Malandrino, A Negro, V Scarano",TextToSpeech: an heavy-weight Edge computing Service,2003,Poster Proc. of,,,"https://scholar.google.com/scholar?cites=6841445907644958136&as_sdt=2005&sciodt=0,5&hl=en&num=20",19
195,"HH Pang, KL Tan",Authenticating query results in edge computing,2004,"Data Engineering, 2004. Proceedings. 20th …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/1320027/,"https://scholar.google.com/scholar?cites=14411113552341271836&as_sdt=2005&sciodt=0,5&hl=en&num=20",1
38,R Manning,Dynamic and distributed managed edge computing (mec) framework,2004,"US Patent App. 10/850,291",Google Patents,https://www.google.com/patents/US20050273668,"https://scholar.google.com/scholar?cites=6209835319200518313&as_sdt=2005&sciodt=0,5&hl=en&num=20",4
12,"R Grieco, D Malandrino, V Scarano",SEcS: scalable edge-computing services,2005,… of the 2005 ACM symposium on …,dl.acm.org,http://dl.acm.org/citation.cfm?id=1067063,"https://scholar.google.com/scholar?cites=5092668273251211387&as_sdt=2005&sciodt=0,5&hl=en&num=20",10
9,"K Bhogal, A Polozoff",Application splitting for network edge computing,2005,"US Patent App. 11/232,744",Google Patents,https://www.google.com/patents/US20070067440,"https://scholar.google.com/scholar?cites=15200240317627990714&as_sdt=2005&sciodt=0,5&hl=en&num=20",18
7,"J Tatemura, WP Hsiung",Web service decomposition: Edge computing architecture for cache-friendly e-commerce applications,2006,Electronic Commerce Research and Applications,Elsevier,http://www.sciencedirect.com/science/article/pii/S1567422305000815,"https://scholar.google.com/scholar?cites=14453016078951413521&as_sdt=2005&sciodt=0,5&hl=en&num=20",15
6,"R Grieco, D Malandrino, V Scarano",A scalable cluster-based infrastructure for edge-computing services,2006,World Wide Web,Springer,http://www.springerlink.com/index/4N0J2875P8245014.pdf,"https://scholar.google.com/scholar?cites=6437365518220731453&as_sdt=2005&sciodt=0,5&hl=en&num=20",16
3,"T Ramesh, JL Meier","Network Edge Computing-Using, learning and cultivating best practices to meet the challenges of next-generation high performance embedded computing",2006,2006 HiPC International Conference,hipc.org,http://www.hipc.org/hipc2006/minisymposium/symp_hipc_tkramesh.pdf,"https://scholar.google.com/scholar?cites=7443440734232767642&as_sdt=2005&sciodt=0,5&hl=en&num=20",26
2,"ST Goh, HH Pang, RH Deng, F Bao",Three architectures for trusted data dissemination in edge computing,2006,Data & Knowledge Engineering,Elsevier,http://www.sciencedirect.com/science/article/pii/S0169023X05000728,"https://scholar.google.com/scholar?cites=10886882600915046808&as_sdt=2005&sciodt=0,5&hl=en&num=20",39
1,"S Sengupta, AE Lefohn, JD Owens","A work-efficient step-efficient prefix sum algorithm, in: Workshop on Edge Computing Using New Commodity Architectures",2006,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.177.8755,"https://scholar.google.com/scholar?cites=6209198971582935071&as_sdt=2005&sciodt=0,5&hl=en&num=20",56
