Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,,,
1380,"F Bonomi, R Milito, J Zhu, S Addepalli",Fog computing and its role in the internet of things,2012,on Mobile cloud computing,dl.acm.org,http://dl.acm.org/citation.cfm?id=2342513,,,,,
140,"SJ Stolfo, MB Salem,  ",Fog computing: Mitigating insider data theft attacks in the cloud,2012,Security and Privacy,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6227695/,,,,,
1,"C JI, Z YANG, Z XIE",New Model of Service Computing: Fog Computing,2012,Journal of Shanghai Dianji University,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-SHDJ201205012.htm,,,,,
5,"J Vignos, P Kim, RL Metzer",Demystifying the fog: Cloud computing from a risk management perspective,2013,Special Issue Cloud Computing,jisar.org,http://www.jisar.org/2013-6/N3/JISARv6n3.pdf#page=26,,,,,
1,BM Numhauser,Fog Computing Introduction to a New Cloud Evolution,2013,,ISBN 978-84-15595-84-7,,,,,,
2,E Rudenko,Fog Computing Is a New Concept of Data Distribution,2013,,,,,,,,
105,"J Zhu, DS Chan, MS Prabhu,  ",Improving web sites performance using edge servers in fog computing architecture,2013,SOSE 2013 IEEE,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6525539/,,,,,
69,"H Madsen, B Burtschy, G Albeanu,  ",Reliability in the utility computing era: Towards reliable fog computing,2013, Signals and Image,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6623445/,,,,,
4,B Kleyman,Welcome to fog computing: Extending the cloud to the edge,2013,URL httpwww. cisco. com,,,,,,,
3,"J Bar-Magen Numhauser, JAG de Mesa",XMPP Distributed Topology as a Potential Solution for Fog Computing,2013,2013 The Sixth International Conference on,,,,,,,
0,Y Zhi-he,A boundary calculation model of IoT fog computing,2014,Internet of Things Technologies,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-WLWJ201412026.htm,,,,,
1,HC Jayanth,A fog computing architecture for disaster response networks,2014,,search.proquest.com,http://search.proquest.com/openview/68d29d5fd843a20d7b1a470798917bcd/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,,
0,"G Albeanu,  ",A RELIABLE E-LEARNING ARCHITECTURE BASED ON FOG-COMPUTING AND SMART DEVICES,2014,The International Scientific,search.proquest.com,http://search.proquest.com/openview/e683e590242c0c7259c4eb7a09b9729a/1?pq-origsite=gscholar&cbl=1876338,,,,,
28,"M Hajibaba, S Gorgin","A review on modern distributed computing paradigms: Cloud computing, jungle computing and fog computing",2014,of computing and information technology,hrcak.srce.hr,http://hrcak.srce.hr/125740,,,,,
0,"A Lisbon, R Kavitha",A Study on Cloud and Fog Computing Security Issues and Solutions,2014,,ijirae.com,http://ijirae.com/volumes/Vol4/iss03/03.MRAE10083.pdf,,,,,
25,"JK Zao, TT Gan, CK You, SJR Méndez,  ",Augmented brain computer interaction based on fog computing and linked data,2014,Intelligent,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6910482/,,,,,
3,"S Raje, N Patil, S Mundhe, R Mahajan",Cloud Security Using Fog Computing,2014,of IRF International Conference 30th March,,,,,,,
229,"LM Vaquero, L Rodero-Merino",Finding your way in the fog: Towards a comprehensive definition of fog computing,2014,ACM SIGCOMM Computer,dl.acm.org,http://dl.acm.org/citation.cfm?id=2677052,,,,,
131,"M Aazam, EN Huh",Fog computing and smart gateway based communication for cloud of things,2014,Future Internet of Things and Cloud,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6984239/,,,,,
2,O Ferrer-Roca,Fog computing in Health 4.0,2014,,may,,,,,,
4,"K Manreet, B Monika",Fog computing providing data security: a review,2014,International Journal of Advanced Research in,,,,,,,
88,I Stojmenovic,Fog computing: A cloud to the ground support for smart things and machine-to-machine networks,2014,Telecommunication Networks and Applications,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7020884/,,,,,
4,"S Khairnar, D Borkar",Fog Computing: A New Concept To Minimize The Attacks And To Provide Security In Cloud Computing Environment,2014,IJRET International Journal of Research in,academia.edu,http://www.academia.edu/download/41673043/FOG_COMPUTING___A_NEW_CONCEPT_TO_MINIMIZE_THE_ATTACKS_AND_TO_PROVIDE_SECURITY_IN_CLOUD_COMPUTING_ENVIRONMENT.pdf,,,,,
244,"F Bonomi, R Milito, P Natarajan, J Zhu",Fog computing: A platform for internet of things and analytics,2014,Big Data and Internet of Things A,Springer,http://link.springer.com/chapter/10.1007/978-3-319-05029-4_7,,,,,
4,"VA Kumar, E Prasad","Fog computing: characteristics, advantages and security–privacy",2014,International Journal of Computer Science and,,,,,,,
5,"DC Saste, PV Madhwai, NB Lokhande,  ",FOG COMPUTING: Comprehensive Approach for Avoiding Data Theft Attack Using Decoy Technology,2014,Computer Technology and,ijsae.in,http://ijsae.in/ijsaeems/index.php/ijsae/article/view/697,,,,,
0,"CV Manjushree, R Raghu, S Priyadarshini,  ",FOG COMPUTING: MITIGATING INSIDER DATA THEFT ATTACK IN PRIVATE CLOUD,2014,,irjcs.com,http://www.irjcs.com/volumes/vol4/iss05/13.MYCSSP10086.pdf,,,,,
29,"M Firdhous, O Ghazali, S Hassan",Fog computing: Will it be the future of cloud computing?,2014,,academia.edu,http://www.academia.edu/download/35006529/144.pdf,,,,,
2,"AR Vinod, BS Sunildatta, KU Rani,  ",HINDERING DATA THEFT ATTACK THROUGH FOG COMPUTING,2014,International Journal of,academia.edu,http://www.academia.edu/download/41673152/HINDERING_DATA_THEFT_ATTACK_THROUGH_FOG_COMPUTING.pdf,,,,,
0,"J Yang, L Yu, P Ling, C Chen,  ",Improving communication quality of internet of things for pelagic fishing vessel by blended fog computing and cloud computing,2014,Transactions of the,ingentaconnect.com,http://www.ingentaconnect.com/content/tcsae/tcsae/2014/00000030/00000023/art00028,,,,,
0,"CT Do, P Chuan, CS Hong",Joint Resource Allocation and Minimizing Carbon Footprint in Geo-distributed Fog Computing,2014, ,networking.khu.ac.kr,http://networking.khu.ac.kr/layouts/net/publications/data/KIISE2014-07-Cuong.pdf,,,,,
75,"M Yannuzzi, R Milito, R Serral-Gracià,  ","Key ingredients in an IoT recipe: Fog Computing, Cloud computing, and more Fog Computing",2014,Aided Modeling and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7033259/,,,,,
37,"C Dsouza, GJ Ahn, M Taguinod",Policy-driven security management for fog computing: Preliminary framework and a case study,2014,Information Reuse and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7051866/,,,,,
0,"P Joshi, A Smart",Review on Fog computing: Reducing Insiders data theft attack in cloud computing,2014,,ijirae.com,http://www.ijirae.com/images/downloads/may-special-issue/ACS10132.May2014.12.pdf,,,,,
2,"M Kaur, M Bharti",Securing user data on cloud using Fog computing and Decoy technique,2014,International Journal of Advance Research in,,,,,,,
4,"VG Mandlekar, VK Mahale, SS Sancheti,  ",Survey on Fog Computing Mitigating Data Theft Attacks in Cloud,2014,Journal University in,ijircst.org,http://www.ijircst.org/DOC/3_IRP2144caa8e0e-a940-4c1d-81c1-5286717307d3.pdf,,,,,
248,"I Stojmenovic, S Wen",The fog computing paradigm: Scenarios and security issues,2014,Computer Science and Information,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6932989/,,,,,
14,M Zhanikeev,A cloud visitation platform to facilitate cloud federation and fog computing,2015,Computer,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7111861/,,,,,
38,"B Tang, Z Chen, G Hefferman, T Wei, H He,  ",A hierarchical distributed fog computing architecture for big data analysis in smart cities,2015,Proceedings of the ASE,dl.acm.org,http://dl.acm.org/citation.cfm?id=2818898,,,,,
5,"TVN Rao, A Khan, M Maschendra,  ",A paradigm shift from cloud to fog computing,2015,International Journal of,search.proquest.com,http://search.proquest.com/openview/1ed6617a81e69d6fc13e5b806ce53eab/1?pq-origsite=gscholar&cbl=2032130,,,,,
21,"CT Do, NH Tran, C Pham, MGR Alam,  ",A proximal algorithm for joint resource allocation and minimizing carbon footprint in geo-distributed fog computing,2015,Information,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7057905/,,,,,
204,"S Yi, C Li, Q Li","A survey of fog computing: concepts, applications and issues",2015,Proceedings of the 2015 Workshop on Mobile Big Data,dl.acm.org,http://dl.acm.org/citation.cfm?id=2757397,,,,,
0,"S Kalantary, S Taghipour, MG Abadi",A Survey on Internet of Things and Fog Computing as a Platform for Internet of Things,2015,World Academy of Science,waset.org,http://www.waset.org/abstracts/computer-and-systems-engineering/30670,,,,,
3,"S Salonikias, I Mavridis, D Gritzalis",Access control issues in utilizing fog computing for transport infrastructure,2015,International Conference on Critical,Springer,http://link.springer.com/chapter/10.1007/978-3-319-33331-1_2,,,,,
5,"S Agarwal, S Yadav, AK Yadav",An architecture for elastic resource allocation in Fog computing,2015,International Journal of Computer,csjournals.com,http://csjournals.com/IJCSC/PDF6-2/31.%20Swati.pdf,,,,,
2,"M Verma, NBAK Yadav",An architecture for load balancing techniques for Fog computing environment,2015,International Journal of Computer Science,csjournals.com,http://csjournals.com/IJCSC/PDF6-2/43.%20Manisha.pdf,,,,,
0,"AA Finogeev, AG Finogeev, IS Nefedova,  ",Analysis of information risks in the system of distributed monitoring based on the fog computing model,2015,Vestnik of Astrakhan,mathnet.ru,http://www.mathnet.ru/eng/vagtu400,,,,,
65,"S Sarkar, S Chatterjee, S Misra",Assessment of the suitability of fog computing in the context of internet of things,2015,on Cloud Computing,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7286781/,,,,,
4,MJ Martin,"Cloud, fog, and now, mist computing",2015,,December,,,,,,
12,"H Shi, N Chen, R Deters",Combining mobile and fog computing: Using coap to link mobile device clouds with fog computing,2015,Data Science and Data Intensive,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7396558/,,,,,
15,"V Gazis, A Leonardi, K Mathioudakis,  ",Components of fog computing in an industrial internet of things context,2015, 2015 12th Annual,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7328144/,,,,,
0,APMS Chavan,DESIGN OF SECURE FRAMEWORK FOR CLOUD DATA SECURITY IN SMART GRID WITH FOG COMPUTING,2015,,ijesmr.com,http://www.ijesmr.com/doc/Archive-2015/August-2015/2.pdf,,,,,
13,"Y Cao, P Hou, D Brown, J Wang, S Chen",Distributed analytics and edge intelligence: Pervasive health monitoring at the era of fog computing,2015,Proceedings of the 2015,dl.acm.org,http://dl.acm.org/citation.cfm?id=2757398,,,,,
1,"M Aazam, EN Huh",Dynamic resource provisioning through Fog micro datacenter,2015,2015 IEEE International Conference on,,,,,,,
18,"M Aazam, EN Huh",E-HAMC: Leveraging Fog computing for emergency alert service,2015,Pervasive Computing and Communication,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7134091/,,,,,
1,F Jalali,Energy Consumption of Cloud Computing and Fog Computing Applications,2015,,minerva-access.unimelb.edu.au,https://minerva-access.unimelb.edu.au/bitstream/handle/11343/58849/Jalali_Fa_thesis.pdf?sequence=1,,,,,
8,"K Vatanparvar, A Faruque, M Abdullah",Energy management as a service over fog computing platform,2015,Proceedings of the ACMIEEE,dl.acm.org,http://dl.acm.org/citation.cfm?id=2735986,,,,,
1,"M Al Faruque, K Vatanparvar",Energy Management-as-a-Service Over Fog Computing Platform Internet of Things Journal,2015,,IEEE,,,,,,
26,"Y Cao, S Chen, P Hou, D Brown",FAST: A fog computing assisted distributed analytics system to monitor fall for stroke mitigation,2015,Networking Architecture and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7255196/,,,,,
7,"R Suryawanshi, G Mandlik",Focusing on mobile users at edge and Internet of Things using fog computing,2015,International Journal of Scientific Engineering and,,,,,,,
11,N Peter,Fog computing and its real time applications,2015,Journal of Emerging Technology and Advanced,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/9426/9af3922bbb24dbd02bd08fc8ea681943b35e.pdf,,,,,
13,GI Klas,"Fog computing and mobile edge cloud gain momentum open fog consortium, etsi mec and cloudlets",2015,,yucianga.info,http://yucianga.info/wp-content/uploads/2015/11/15-11-22-Fog-computing-and-mobile-edge-cloud-gain-momentum-%E2%80%93-Open-Fog-Consortium-ETSI-MEC-Cloudlets-v1.pdf,,,,,
32,"SK Datta, C Bonnet, J Haerri",Fog Computing architecture to enable consumer centric Internet of Things services,2015,Consumer Electronics ISCE,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7177778/,,,,,
3,"B Mei, W Cheng, X Cheng",Fog Computing Based Ultraviolet Radiation Measurement via Smartphones,2015,Hot Topics in Web Systems and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7372287/,,,,,
14,"CC Byers, P Wetterwald",Fog computing distributing data and intelligence for resiliency and scale necessary for IoT,2015,Ubiquity,dl.acm.org,http://dl.acm.org/citation.cfm?id=2822875,,,,,
3,"K Shenoy, P Bhokare, U Pai",Fog Computing Future of Cloud Computing,2015,International Journal of Science and Research,,,,,,,
7,"TN Gia, M Jiang, AM Rahmani,  ",Fog computing in body sensor networks: An energy efficient approach,2015,Conference BSN15,researchgate.net,https://www.researchgate.net/profile/Tuan_Nguyen_Gia2/publication/277720444_Fog_Computing_in_Body_Sensor_Networks_An_Energy_Efficient_Approach/links/55dd6c1908aeb41644aee696.pdf,,,,,
39,"TN Gia, M Jiang, AM Rahmani,  ",Fog computing in healthcare internet of things: A case study on ecg feature extraction,2015,Computing and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7363093/,,,,,
5,"R Bose, MK Saha, D Sarddar",Fog Computing Made Easy with the Help of Citrix and Billboard Manager,2015,International Journal of,search.proquest.com,http://search.proquest.com/openview/b015b96b7b0b367488e8e9d1f916b408/1?pq-origsite=gscholar&cbl=136216,,,,,
58,"M Aazam, EN Huh",Fog computing micro datacenter based dynamic resource estimation and pricing model for IoT,2015,and Applications AINA 2015 IEEE 29th,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7098039/,,,,,
2,B Gandhi,Fog computing reality check: Real world applications and architectures,2015,IoT Evolution EXPO August,,,,,,,
4,"O Fratu, C Pena, R Craciunescu,  ",Fog computing system for monitoring Mild Dementia and COPD patients-Romanian case study,2015,in Modern Satellite,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7357752/,,,,,
3,NN Khan,Fog Computing: A Better Solution for IoT,2015,International Journal of Engineering and Technical,,,,,,,
0,Y Singh,FOG Computing: A Novel Perception to Minimize Attacks & Provide Security in Cloud Computing Environment,2015,International Journal of VLSI Design and Technology,,,,,,,
114,"TH Luan, L Gao, Z Li, Y Xiang, G Wei, L Sun",Fog computing: Focusing on mobile users at the edge,2015,arXiv preprint arXiv,arxiv.org,https://arxiv.org/abs/1502.01815,,,,,
15,"Y Wang, T Uehara, R Sasaki",Fog computing: issues and challenges in security and forensics,2015,Computer Software and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7273323/,,,,,
0,"TH Luan, L Gao, Z Li, Y Xiang,  ","Fog Computing: Paradigm, Protocol and Security Issues",2015,arXiv preprint arXiv,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/4e30/aa1a27a9dcfea72aa80052b95d835e409d27.pdf,,,,,
69,"S Yi, Z Hao, Z Qin, Q Li",Fog computing: Platform and applications,2015,Hot Topics in Web Systems and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7372286/,,,,,
1,RY Chen,Fog computing-based intelligent inference performance evaluation system integrated internet of thing in food cold chain,2015,Fuzzy Systems and Knowledge Discovery FSKD,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7382059/,,,,,
15,"YN Krishnan, CN Bhagwat,  ",Fog computing—Network based cloud computing,2015,Systems ICECS 2015,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7124902/,,,,,
34,"H Dubey, J Yang, N Constant, AM Amiri,  ",Fog data: Enhancing telehealth big data through fog computing,2015,Proceedings of the ASE,dl.acm.org,http://dl.acm.org/citation.cfm?id=2818889,,,,,
18,"MA Hassan, M Xiao, Q Wei,  ",Help your mobile applications with fog computing,2015,SECON Workshops 2015,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7328146/,,,,,
9,"R Craciunescu, A Mihovska, M Mihaylov,  ",Implementation of Fog computing for reliable E-health applications,2015, 2015 49th Asilomar,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7421170/,,,,,
3,"X Zhu, DS Chan, H Hu, MS Prabhu,  ",IMPROVING VIDEO PERFORMANCE WITH EDGE SERVERS IN THE FOG COMPUTING ARCHITECTURE.,2015,Intel Technology,search.ebscohost.com,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1535864X&AN=110788653&h=AMmVZGT4wTCEoVzIpVi6Eh3MIYF%2BoUe93eePUWV2FXrR%2FoRGlppNR3Qzc8cPsdbVHZX845aXE9iEejUyq77nfA%3D%3D&crl=c,,,,,
4,"P Bellavista, A Corradi, A Zanni",Integrating Mobile Internet of Things and Cloud Computing towards Scalability: Lessons Learned from Existing Fog Computing Architectures and Solutions,2015,3rd Int. IBM Cloud Academy Conf.ICA,ibm.com,http://www.ibm.com/ibm/files/F989958Y37370X12/Alessandro_Zanni.pdf,,,,,
0,"CS Hong, SW Lee, FA Sarder",Internet of things network system using fog computing network,2015,US Patent App. 14634049,Google Patents,https://www.google.com/patents/US20160182639,,,,,
21,M Abdelshkour,"IoT, from cloud to fog computing",2015,Cisco BlogPerspectives,,,,,,,
0,HY Liu,IPTV on Fog Computing Architecture,2015,,,,,,,,
9,"V Cardellini, V Grassi, FL Presti,  ",On QoS-aware scheduling of data stream applications over fog computing infrastructures,2015,ISCC 2015 IEEE,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7405527/,,,,,
12,"K Lee, D Kim, D Ha, U Rajput,  ",On security and privacy issues of fog computing supported Internet of Things environment,2015,Network of the Future NOF,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7333287/,,,,,
3,"SP KAREKAR, SM VAIDYA",Perspective of Decoy Technique using Mobile Fog Computing with Effect to Wireless Environment,2015,,,,,,,,
4,P More,Review of implementing Fog Computing,2015,International Journal of Research in Engineering and,esatjournals.net,http://esatjournals.net/ijret/2015v04/i06/IJRET20150406057.pdf,,,,,
47,"K Skala, D Davidovic, E Afgan, I Sovic,  ","Scalable distributed computing hierarchy: Cloud, fog and dew computing",2015,of Cloud Computing ,ronpub.com,http://www.ronpub.com/publications/ojcc/OJCC_2015v2i1n03_Skala.html,,,,,
0,"TTK Loan, HQ Nguyen, XQ Pham, NDT Tri,  ",Screen Virtualization in Fog Computing,2015, ,dbpia.co.kr,http://www.dbpia.co.kr/Journal/ArticleDetail/NODE06394127,,,,,
3,"TR Kanna, M Nagaraju, CV Bhaskar",Secure Fog Computing: Providing Data Security,2015,IJRCCT,ijrcct.org,http://ijrcct.org/index.php/ojs/article/view/1029,,,,,
44,"S Yi, Z Qin, Q Li",Security and privacy issues of fog computing: A survey,2015,Conference on Wireless Algorithms Systems and,Springer,http://link.springer.com/chapter/10.1007/978-3-319-21837-3_67,,,,,
14,"J Oueis, EC Strinati, S Sardellitti,  ",Small cell clustering for efficient distributed fog computing: A multi-user case,2015,Conference VTC Fall,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7391144/,,,,,
0,K Daniluk,Smart Decision Fog Computing Layer in Energy-Efficient Multi-hop Temperature Monitoring System using Wireless Sensor Network,2015,FedCSIS Position Papers,researchgate.net,https://www.researchgate.net/profile/Krzysztof_Daniluk/publication/300339130_Smart_Decision_Fog_Computing_Layer_in_Energy-Efficient_Multi-hop_Temperature_Monitoring_System_using_Wireless_Sensor_Network/links/58c291ed92851c0ccbf0d728/Smart-Decision-Fog-Computing-Layer-in-Energy-Efficient-Multi-hop-Temperature-Monitoring-System-using-Wireless-Sensor-Network.pdf,,,,,
13,"VK Sehgal, A Patrick, A Soni, L Rajput","Smart human security framework using internet of things, cloud and fog computing",2015,Intelligent distributed computing,Springer,http://link.springer.com/chapter/10.1007/978-3-319-11227-5_22,,,,,
26,"V Stantchev, A Barnawi, S Ghulam,  ","Smart items, fog and cloud computing as enablers of servitization in healthcare",2015,Sensors ,search.proquest.com,http://search.proquest.com/openview/0188ed3d038bf5dd1d2cea05ba290ab9/1?pq-origsite=gscholar&cbl=52938,,,,,
0,"DR de Vasconcelos,  ",Smart Shadow-An Autonomous Availability Computation Resource Allocation Platform for Internet of Things in the Fog Computing Environment,2015,Computing in,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7165046/,,,,,
70,"NB Truong, GM Lee,  ",Software defined networking-based vehicular adhoc network with fog computing,2015,Management IM 2015,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7140467/,,,,,
14,"S Jingtao, L Fuhong, Z Xianwei,  ",Steiner tree based optimal resource caching scheme in fog computing,2015,China Communications,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7224698/,,,,,
23,"JS Preden, K Tammemäe, A Jantsch, M Leier,  ",The benefits of self-awareness and attention in fog and mist computing,2015,Computer,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7163242/,,,,,
28,"J Oueis, EC Strinati,  ",The fog balancing: Load distribution for small cell cloud computing,2015,Conference VTC Spring,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7146129/,,,,,
18,"Y Shi, G Ding, H Wang, HE Roman,  ",The fog computing service for healthcare,2015,Future Information and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7203325/,,,,,
17,SW Loke,The internet of flying-things: Opportunities and challenges with airborne fog computing and mobile cloud in the clouds,2015,arXiv preprint arXiv1507.04492,arxiv.org,https://arxiv.org/abs/1507.04492,,,,,
