Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank
4,C Gallen,Mobile cloud computing subscribers to total nearly one billion by 2014,2009,ABI research,,,"https://scholar.google.com/scholar?cites=17976168338305045791&as_sdt=2005&sciodt=0,5&hl=en&num=20",4
475,EE Marinelli,Hyrax: cloud computing on mobile devices using MapReduce,2009,,dtic.mil,http://www.dtic.mil/docs/citations/ADA512601,"https://scholar.google.com/scholar?cites=18230759705666347730&as_sdt=2005&sciodt=0,5&hl=en&num=20",1
0,"K Sambrekar, VS Rajpurohit",A Proposed Model for Mobile Cloud Computing in Agriculture,2009,,academia.edu,http://www.academia.edu/download/38798425/IJSRDV2I7170.pdf,,6
2,M Beccue,Mobile Trends: The Impact of Mobile Cloud Computing on Mobile Money,2009,"ABI Research, Jul",,,"https://scholar.google.com/scholar?cites=2434105547607860102&as_sdt=2005&sciodt=0,5&hl=en&num=20",5
12,"M Beccue, D Shey",Mobile Cloud Computing,2009,ABI Research,,,"https://scholar.google.com/scholar?cites=13509390427596283466&as_sdt=2005&sciodt=0,5&hl=en&num=20",3
58,"Q Liu, X Jian, J Hu, H Zhao…",An optimized solution for mobile environment using mobile cloud computing,2009,"… , Networking and Mobile …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5302240/,"https://scholar.google.com/scholar?cites=13160277004256793255&as_sdt=2005&sciodt=0,5&hl=en&num=20",2
0,"YF Richard, CM Leung Victor",Advances in Mobile Cloud Computing Systems,2009,,CRC,,,7
145,"A Klein, C Mannweiler, J Schneider…",Access schemes for mobile cloud computing,2010,"… MDM), 2010 Eleventh …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5489732/,"https://scholar.google.com/scholar?cites=9263858343109349452&as_sdt=2005&sciodt=0,5&hl=en&num=20",3
368,"AP Miettinen, JK Nurminen",Energy Efficiency of Mobile Clients in Cloud Computing.,2010,HotCloud,usenix.org,https://www.usenix.org/legacy/events/hotcloud10/tech/full_papers/Miettinen.pdf,"https://scholar.google.com/scholar?cites=363131226889553983&as_sdt=2005&sciodt=0,5&hl=en&num=20",4
2,AR Hickey,Report: Mobile Cloud Computing A $5 Billion Opportunity,2010,,,,"https://scholar.google.com/scholar?cites=4445576249600472653&as_sdt=2005&sciodt=0,5&hl=en&num=20",31
