Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,,
18,"P Di Lorenzo, S Barbarossa, S Sardellitti",Joint Optimization of Radio Resources and Code Partitioning in Mobile Edge Computing,2013,arXiv preprint arXiv:1307.3835,arxiv.org,https://arxiv.org/abs/1307.3835,"https://scholar.google.com/scholar?cites=18052867603884059123&as_sdt=2005&sciodt=0,5&hl=en&num=20",16,,
77,"MT Beck, M Werner, S Feld, T Schimper",Mobile edge computing: A taxonomy,2014,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.670.9418,"https://scholar.google.com/scholar?cites=3455476583204780883&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,,
94,"M Patel, B Naughton, C Chan, N Sprecher, S Abeta, ...",Mobile-edge computing introductory technical white paper,2014,"… , Mobile-edge Computing  …",,,"https://scholar.google.com/scholar?cites=3363040729924659634&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,,
16,"MT Beck, M Maier",Mobile edge computing: Challenges for future virtual network embedding algorithms,2014,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.678.6569,"https://scholar.google.com/scholar?cites=3382445250083126525&as_sdt=2005&sciodt=0,5&hl=en&num=20",14,,
3,GA Lewis,Mobile computing at the edge (keynote),2014,… of the 1st International Conference on Mobile Software …,dl.acm.org,http://dl.acm.org/citation.cfm?id=2593920,"https://scholar.google.com/scholar?cites=16709622022685805425&as_sdt=2005&sciodt=0,5&hl=en&num=20",90,,
132,"YC Hu, M Patel, D Sabella, N Sprecher, V Young",Mobile edge computing—A key technology towards 5G,2015,ETSI White Paper,etsi.org,http://www.etsi.org/images/files/ETSIWhitePapers/etsi_wp11_mec_a_key_technology_towards_5g.pdf,"https://scholar.google.com/scholar?cites=308270405113706235&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,,
84,"S Sardellitti, G Scutari, ...",Joint optimization of radio and computational resources for multicell mobile-edge computing,2015,IEEE Transactions on …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7130662/,"https://scholar.google.com/scholar?cites=17629097652912887101&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,,
39,"S Nunna, A Kousaridas, M Ibrahim, ...",Enabling real-time context-aware collaboration through 5G and mobile edge computing,2015,"… (ITNG), 2015 12th …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7113539/,"https://scholar.google.com/scholar?cites=81394420627733728&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,,
13,O Mäkinen,Streaming at the edge: Local service concepts utilizing mobile edge computing,2015,"… Generation Mobile Applications, Services and …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7373210/,"https://scholar.google.com/scholar?cites=16487487712259257396&as_sdt=2005&sciodt=0,5&hl=en&num=20",21,,
28,"G Orsini, D Bade, W Lamersdorf",Computing at the mobile edge: designing elastic android applications for computation offloading,2015,IFIP Wireless and Mobile …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7396688/,"https://scholar.google.com/scholar?cites=4386536410308729877&as_sdt=2005&sciodt=0,5&hl=en&num=20",24,,
4,"A Mtibaa, K Harras, H Alnuweiri",Friend or Foe? Detecting and isolating malicious nodes in mobile edge computing platforms,2015,Cloud Computing Technology …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7396136/,"https://scholar.google.com/scholar?cites=2153957248090734874&as_sdt=2005&sciodt=0,5&hl=en&num=20",49,,
2,G Klas,About Mobile Edge Cloud Computing–An Introduction,2015,,,,"https://scholar.google.com/scholar?cites=17234683877056234461&as_sdt=2005&sciodt=0,5&hl=en&num=20",88,,
0,"YC Chiu, YH Tsai, SH Huang","Controlling method, network system and service platform for mobile-edge computing",2015,"US Patent App. 14/949,264",Google Patents,https://www.google.com/patents/US20160366244,,172,,
0,D Lake,Enhancing Mobile Services with Edge Computing Capabilities,2015,Newsletter,sdn.ieee.org,https://sdn.ieee.org/newsletter/march-2016/enhancing-mobile-services-with-edge-computing-capabilities,,199,,
0,E Castellanos Najera,Evaluating mobile edge-computing on base stations Case study of a sign recognition application,2015,,aaltodoc.aalto.fi,https://aaltodoc.aalto.fi/handle/123456789/19045,,242,,
0,M Neishaboori,Implementation and Evaluation of Mobile-Edge Computing Cooperative Caching,2015,,aaltodoc.aalto.fi,https://aaltodoc.aalto.fi/handle/123456789/17833,,243,,
108,"A Ahmed, E Ahmed",A survey on mobile edge computing,2016,"… Systems and Control (ISCO), 2016 10th …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7727082/,"https://scholar.google.com/scholar?cites=1882869887168479627&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,,
27,"Y Jararweh, A Doulat, O AlQudah, ...",The future of mobile cloud computing: Integrating cloudlets and mobile edge computing,2016,"… (ICT), 2016 23rd …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7500486/,"https://scholar.google.com/scholar?cites=12533550015655473909&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,,
50,"Y Mao, J Zhang, KB Letaief",Dynamic computation offloading for mobile-edge computing with energy harvesting devices,2016,IEEE Journal on Selected Areas …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7572018/,"https://scholar.google.com/scholar?cites=17761306583763303476&as_sdt=2005&sciodt=0,5&hl=en&num=20",12,,
120,"X Chen, L Jiao, W Li, X Fu",Efficient multi-user computation offloading for mobile-edge cloud computing,2016,IEEE/ACM Transactions on …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7307234/,"https://scholar.google.com/scholar?cites=6404188117257443617&as_sdt=2005&sciodt=0,5&hl=en&num=20",13,,
33,"K Zhang, Y Mao, S Leng, Q Zhao, L Li, X Peng, ...",Energy-efficient offloading for mobile edge computing in 5G heterogeneous networks,2016,IEEE …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7553459/,"https://scholar.google.com/scholar?cites=10836858076739527486&as_sdt=2005&sciodt=0,5&hl=en&num=20",17,,
24,"J Liu, Y Mao, J Zhang, KB Letaief",Delay-optimal computation task scheduling for mobile-edge computing systems,2016,Information Theory (ISIT) …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7541539/,"https://scholar.google.com/scholar?cites=9758504753200549571&as_sdt=2005&sciodt=0,5&hl=en&num=20",19,,
13,"P Corcoran, SK Datta",Mobile-edge computing and the internet of things for consumers: Extending cloud computing and services to the edge of the network,2016,IEEE Consumer Electronics Magazine,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7574425/,"https://scholar.google.com/scholar?cites=4325403893788019883&as_sdt=2005&sciodt=0,5&hl=en&num=20",20,,
