"villageid","hh_id","leader","caste_category_label","caste_category","subcaste_label","subcaste","hh_owned_label","hh_owned","roof_type","num_rooms","electricity","occupation_label","occupation"
1,101,0,"OBC",3,"Kuruba",404,"Owned",1,5,3,1,"Domestic help/cook/casual",15
1,102,0,"OBC",3,"Kuruba",404,"Owned",1,4,4,1,"Farm land-owner",2
1,103,0,"OBC",3,"Kuruba",404,"Owned",1,3,3,1,"Farm land-owner",2
1,104,0,"GENERAL",4,"Kuruba",404,"Owned",1,3,3,1,"Farm land-owner",2
1,105,0,"OBC",3,"Kuruba",404,"Owned",1,3,3,1,"Farm land-owner",2
1,106,0,"OBC",3,"Kuruba",404,"Owned",1,3,4,1,"Farm land-owner",2
1,107,0,"OBC",3,"Kuruba",404,"Owned",1,3,3,3,"Masonry/construction worker",12
1,108,1,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,3,4,1,"Private services",9
1,109,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,5,5,1,"Farm land-owner",2
1,110,0,"OBC",3,"Kuruba",404,"Owned",1,5,4,1,"Farm land-owner",2
1,111,0,"OBC",3,"Kuruba",404,"Owned",1,5,3,1,"Farm land-owner",2
1,112,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,5,4,1,"Farm labourer",3
1,113,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,114,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,115,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,1,"Farm labourer",3
1,116,1,"OBC",3,"Kuruba",404,"Owned",1,3,5,1,"Farm land-owner",2
1,117,0,"OBC",3,"Kuruba",404,"Owned",1,5,3,1,"Small business (shop, etc.)",1
1,118,0,"OBC",3,"Kuruba",404,"OTHERS, SPECIFY",-333,4,2,3,"Farm labourer",3
1,119,0,"OBC",3,"Kuruba",404,"Owned",1,4,3,1,"Farm labourer",3
1,120,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,2,1,1,"Industry/factory worker(brick making etc)",10
1,121,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,2,2,1,"Masonry/construction worker",12
1,122,0,"SCHEDULED TRIBE",2,"Bhovi/Odda/Vaddar",206,"Rented",3,3,2,1,"Farm labourer",3
1,123,0,"GENERAL",4,"Kuruba",404,"Owned",1,3,3,1,"Industry/factory worker(brick making etc)",10
1,124,1,"OBC",3,"Kuruba",404,"Owned",1,3,2,1,"Private services",9
